abbott,kids,jack
statistics,rocket,leapsecond
applecar,kindle,nmap
hasbro,startrek,jobs
ukraine,heart,medical
slaponthewrist,mac,fps
appletv,affair,gnome
softwareupdate,holyscapegoatbatman,ubunt
applepay,freebasics,sweden
php,asteroid,ood
cygnus,dental,malware
nodejs,whatsapp,tax
oneplus,firefox,sweden
riaa,tmobile,computer
alto,weather,generalmotors
kentucky,ethanol,psychology
iss,domain,doomsday
woz,isp,shittyoil
azure,http,pollution
steam,seagate,email
gooddaytoburybadnews,software,linuxfoundation
themedia,steamvr,humor
cmd,mercedesbenz,doomsday
ddos,hasbro,gui
dash,cars,verizon
search,boeing,clapoff
vr,datacaps,evernote
alto,scientology,linuxkernel
gn,italy,ebook
appeconomy,nintendo,racediscrimination
smartwatch,childhood,japan
datacaps,applemusic,commoncold
college,internetarchive,tvshows
isp,phone,dell
vim,mouse,obama
fire,startrek,vw
proprietary,iphone7,seattle
torrents,hdtv,europe
sony,font,gaming
tv,timemachine,mirai
surfacestudio,shitcoin,download
lg,medical,communications
karlsruhe,sweden,education
usa,riaa,drm
employement,blimey,and
iphone8,power,actors
insecurity,ruby,surface
hdtv,drm,movie
child,code,circlejerk
auto,research,star
